feature	depth	Nsites	totalNsites	propsites
genome	203	1507	1108645000	1.35932e-06
genome	204	1589	1108645000	1.43328e-06
genome	205	1592	1108645000	1.43599e-06
genome	206	1590	1108645000	1.43418e-06
genome	207	1555	1108645000	1.40261e-06
genome	208	1531	1108645000	1.38097e-06
genome	209	1623	1108645000	1.46395e-06
genome	210	1552	1108645000	1.39991e-06
genome	211	1391	1108645000	1.25468e-06
genome	212	1463	1108645000	1.31963e-06
genome	213	1412	1108645000	1.27363e-06
genome	214	1503	1108645000	1.35571e-06
genome	215	1432	1108645000	1.29167e-06
genome	216	1400	1108645000	1.2628e-06
genome	217	1530	1108645000	1.38006e-06
genome	218	1421	1108645000	1.28174e-06
genome	219	1454	1108645000	1.31151e-06
genome	220	1380	1108645000	1.24476e-06
genome	221	1439	1108645000	1.29798e-06
genome	222	1332	1108645000	1.20147e-06
genome	223	1264	1108645000	1.14013e-06
genome	224	1246	1108645000	1.12389e-06
genome	225	1229	1108645000	1.10856e-06
genome	226	1134	1108645000	1.02287e-06
genome	227	1179	1108645000	1.06346e-06
genome	228	1260	1108645000	1.13652e-06
genome	229	1202	1108645000	1.08421e-06
genome	230	1255	1108645000	1.13201e-06
genome	231	1151	1108645000	1.0382e-06
genome	232	1120	1108645000	1.01024e-06
genome	233	1107	1108645000	9.98516e-07
genome	234	1056	1108645000	9.52514e-07
genome	235	1051	1108645000	9.48004e-07
genome	236	1046	1108645000	9.43494e-07
genome	237	1186	1108645000	1.06977e-06
genome	238	1078	1108645000	9.72358e-07
genome	239	1144	1108645000	1.03189e-06
genome	240	1060	1108645000	9.56122e-07
genome	241	1108	1108645000	9.99418e-07
genome	242	1209	1108645000	1.09052e-06
genome	243	1112	1108645000	1.00303e-06
genome	244	966	1108645000	8.71334e-07
genome	245	1006	1108645000	9.07414e-07
genome	246	1041	1108645000	9.38984e-07
genome	247	989	1108645000	8.9208e-07
genome	248	983	1108645000	8.86668e-07
genome	249	986	1108645000	8.89374e-07
genome	250	1008	1108645000	9.09218e-07
genome	251	1049	1108645000	9.462e-07
genome	252	983	1108645000	8.86668e-07
genome	253	985	1108645000	8.88472e-07
genome	254	861	1108645000	7.76624e-07
genome	255	901	1108645000	8.12704e-07
