feature	depth	Nsites	totalNsites	propsites
genome	229	2387	1108645000	2.15308e-06
genome	230	2317	1108645000	2.08994e-06
genome	231	2400	1108645000	2.1648e-06
genome	232	2385	1108645000	2.15127e-06
genome	233	2339	1108645000	2.10978e-06
genome	234	2216	1108645000	1.99884e-06
genome	235	2358	1108645000	2.12692e-06
genome	236	2277	1108645000	2.05386e-06
genome	237	2111	1108645000	1.90413e-06
genome	238	2110	1108645000	1.90322e-06
genome	239	2096	1108645000	1.8906e-06
genome	240	2046	1108645000	1.8455e-06
genome	241	2128	1108645000	1.91946e-06
genome	242	1999	1108645000	1.8031e-06
genome	243	1994	1108645000	1.79859e-06
genome	244	2035	1108645000	1.83557e-06
genome	245	1925	1108645000	1.73635e-06
genome	246	1948	1108645000	1.7571e-06
genome	247	1914	1108645000	1.72643e-06
genome	248	1957	1108645000	1.76522e-06
genome	249	1794	1108645000	1.61819e-06
genome	250	2005	1108645000	1.80851e-06
genome	251	1846	1108645000	1.6651e-06
genome	252	1784	1108645000	1.60917e-06
genome	253	1879	1108645000	1.69486e-06
genome	254	1834	1108645000	1.65427e-06
genome	255	1785	1108645000	1.61007e-06
genome	256	1861	1108645000	1.67863e-06
genome	257	1737	1108645000	1.56678e-06
genome	258	1604	1108645000	1.44681e-06
genome	259	1648	1108645000	1.4865e-06
genome	260	1634	1108645000	1.47387e-06
genome	261	1595	1108645000	1.43869e-06
genome	262	1725	1108645000	1.55595e-06
genome	263	1561	1108645000	1.40803e-06
genome	264	1698	1108645000	1.5316e-06
genome	265	1624	1108645000	1.46485e-06
genome	266	1497	1108645000	1.3503e-06
genome	267	1592	1108645000	1.43599e-06
genome	268	1584	1108645000	1.42877e-06
genome	269	1541	1108645000	1.38999e-06
genome	270	1566	1108645000	1.41254e-06
genome	271	1559	1108645000	1.40622e-06
genome	272	1436	1108645000	1.29527e-06
genome	273	1526	1108645000	1.37646e-06
genome	274	1416	1108645000	1.27723e-06
genome	275	1462	1108645000	1.31873e-06
genome	276	1456	1108645000	1.31331e-06
genome	277	1441	1108645000	1.29978e-06
genome	278	1398	1108645000	1.261e-06
genome	279	1525	1108645000	1.37555e-06
genome	280	1445	1108645000	1.30339e-06
genome	281	1407	1108645000	1.26912e-06
genome	282	1319	1108645000	1.18974e-06
genome	283	1534	1108645000	1.38367e-06
genome	284	1337	1108645000	1.20598e-06
genome	285	1402	1108645000	1.26461e-06
genome	286	1396	1108645000	1.25919e-06
genome	287	1315	1108645000	1.18613e-06
genome	288	1334	1108645000	1.20327e-06
genome	289	1245	1108645000	1.12299e-06
genome	290	1248	1108645000	1.1257e-06
genome	291	1343	1108645000	1.21139e-06
genome	292	1282	1108645000	1.15637e-06
genome	293	1182	1108645000	1.06617e-06
genome	294	1150	1108645000	1.0373e-06
genome	295	1198	1108645000	1.0806e-06
genome	296	1263	1108645000	1.13923e-06
genome	297	1195	1108645000	1.07789e-06
genome	298	1251	1108645000	1.1284e-06
genome	299	1219	1108645000	1.09954e-06
genome	300	1195	1108645000	1.07789e-06
genome	301	1164	1108645000	1.04993e-06
genome	302	1165	1108645000	1.05083e-06
genome	303	1234	1108645000	1.11307e-06
genome	304	1284	1108645000	1.15817e-06
genome	305	1220	1108645000	1.10044e-06
genome	306	1172	1108645000	1.05715e-06
genome	307	1122	1108645000	1.01205e-06
genome	308	1200	1108645000	1.0824e-06
genome	309	1225	1108645000	1.10495e-06
