feature	depth	Nsites	totalNsites	propsites
genome	250	1140	1108645000	1.02828e-06
genome	251	1069	1108645000	9.6424e-07
genome	252	1025	1108645000	9.24552e-07
genome	253	947	1108645000	8.54196e-07
genome	254	1002	1108645000	9.03806e-07
genome	255	969	1108645000	8.7404e-07
genome	256	987	1108645000	8.90276e-07
genome	257	962	1108645000	8.67726e-07
genome	258	916	1108645000	8.26234e-07
genome	259	863	1108645000	7.78428e-07
genome	260	805	1108645000	7.26112e-07
genome	261	840	1108645000	7.57682e-07
genome	262	791	1108645000	7.13484e-07
genome	263	776	1108645000	6.99954e-07
genome	264	773	1108645000	6.97248e-07
genome	265	814	1108645000	7.3423e-07
genome	266	843	1108645000	7.60388e-07
genome	267	797	1108645000	7.18896e-07
genome	268	855	1108645000	7.71212e-07
genome	269	857	1108645000	7.73016e-07
genome	270	815	1108645000	7.35132e-07
genome	271	800	1108645000	7.21602e-07
genome	272	824	1108645000	7.4325e-07
genome	273	795	1108645000	7.17092e-07
genome	274	765	1108645000	6.90032e-07
genome	275	828	1108645000	7.46858e-07
genome	276	817	1108645000	7.36936e-07
genome	277	765	1108645000	6.90032e-07
genome	278	778	1108645000	7.01758e-07
genome	279	711	1108645000	6.41323e-07
genome	280	747	1108645000	6.73796e-07
genome	281	720	1108645000	6.49441e-07
genome	282	779	1108645000	7.0266e-07
genome	283	765	1108645000	6.90032e-07
genome	284	700	1108645000	6.31401e-07
genome	285	718	1108645000	6.47637e-07
genome	286	692	1108645000	6.24185e-07
genome	287	694	1108645000	6.25989e-07
genome	288	629	1108645000	5.67359e-07
genome	289	637	1108645000	5.74575e-07
genome	290	645	1108645000	5.81791e-07
genome	291	672	1108645000	6.06145e-07
genome	292	612	1108645000	5.52025e-07
genome	293	604	1108645000	5.44809e-07
genome	294	636	1108645000	5.73673e-07
genome	295	621	1108645000	5.60143e-07
genome	296	599	1108645000	5.40299e-07
genome	297	629	1108645000	5.67359e-07
genome	298	621	1108645000	5.60143e-07
genome	299	546	1108645000	4.92493e-07
genome	300	616	1108645000	5.55633e-07
genome	301	558	1108645000	5.03317e-07
genome	302	583	1108645000	5.25867e-07
genome	303	541	1108645000	4.87983e-07
genome	304	563	1108645000	5.07827e-07
genome	305	618	1108645000	5.57437e-07
genome	306	544	1108645000	4.90689e-07
genome	307	579	1108645000	5.22259e-07
genome	308	638	1108645000	5.75477e-07
genome	309	571	1108645000	5.15043e-07
genome	310	510	1108645000	4.60021e-07
genome	311	501	1108645000	4.51903e-07
genome	312	480	1108645000	4.32961e-07
genome	313	507	1108645000	4.57315e-07
genome	314	507	1108645000	4.57315e-07
genome	315	468	1108645000	4.22137e-07
genome	316	504	1108645000	4.54609e-07
genome	317	491	1108645000	4.42883e-07
genome	318	427	1108645000	3.85155e-07
genome	319	556	1108645000	5.01513e-07
genome	320	454	1108645000	4.09509e-07
genome	321	452	1108645000	4.07705e-07
genome	322	466	1108645000	4.20333e-07
genome	323	502	1108645000	4.52805e-07
genome	324	501	1108645000	4.51903e-07
genome	325	436	1108645000	3.93273e-07
genome	326	496	1108645000	4.47393e-07
genome	327	482	1108645000	4.34765e-07
genome	328	501	1108645000	4.51903e-07
genome	329	485	1108645000	4.37471e-07
genome	330	511	1108645000	4.60923e-07
genome	331	476	1108645000	4.29353e-07
genome	332	448	1108645000	4.04097e-07
genome	333	434	1108645000	3.91469e-07
genome	334	424	1108645000	3.82449e-07
genome	335	386	1108645000	3.48173e-07
genome	336	410	1108645000	3.69821e-07
genome	337	410	1108645000	3.69821e-07
genome	338	409	1108645000	3.68919e-07
genome	339	398	1108645000	3.58997e-07
genome	340	435	1108645000	3.92371e-07
genome	341	435	1108645000	3.92371e-07
genome	342	443	1108645000	3.99587e-07
genome	343	381	1108645000	3.43663e-07
genome	344	374	1108645000	3.37349e-07
genome	345	371	1108645000	3.34643e-07
genome	346	359	1108645000	3.23819e-07
genome	347	390	1108645000	3.51781e-07
genome	348	455	1108645000	4.10411e-07
genome	349	360	1108645000	3.24721e-07
genome	350	371	1108645000	3.34643e-07
genome	351	351	1108645000	3.16603e-07
genome	352	365	1108645000	3.29231e-07
genome	353	334	1108645000	3.01269e-07
genome	354	336	1108645000	3.03073e-07
genome	355	337	1108645000	3.03975e-07
genome	356	313	1108645000	2.82327e-07
genome	357	344	1108645000	3.10289e-07
genome	358	339	1108645000	3.05779e-07
genome	359	344	1108645000	3.10289e-07
genome	360	330	1108645000	2.97661e-07
genome	361	328	1108645000	2.95857e-07
genome	362	318	1108645000	2.86837e-07
genome	363	322	1108645000	2.90445e-07
genome	364	297	1108645000	2.67895e-07
genome	365	311	1108645000	2.80523e-07
genome	366	317	1108645000	2.85935e-07
genome	367	340	1108645000	3.06681e-07
genome	368	337	1108645000	3.03975e-07
genome	369	279	1108645000	2.51659e-07
genome	370	306	1108645000	2.76013e-07
genome	371	314	1108645000	2.83229e-07
genome	372	338	1108645000	3.04877e-07
genome	373	351	1108645000	3.16603e-07
genome	374	293	1108645000	2.64287e-07
