contig,lg,Tce_F_CC22B,Tce_F_CC22C,Tce_F_CC24B,Tce_F_CC24C,Tce_F_CC25B,Tce_M_05_HM15,Tce_M_06_HM16,Tce_M_07_HM33,Tce_M_08_HM61
lgNA_ordNA_scaf738,lgNA,22.02979066022544283413848631,13.77133655394524959742351047,13.48148148148148148148148148,13.75120772946859903381642512,16.51771336553945249597423510,31.85507246376811594202898551,30.91626409017713365539452496,31.85990338164251207729468599,30.31159420289855072463768116
lgNA_ordNA_scaf739,lgNA,24.13421828908554572271386431,12.25147492625368731563421829,19.66519174041297935103244838,15.60914454277286135693215339,16.04203539823008849557522124,45.52949852507374631268436578,34.51769911504424778761061947,31.86799410029498525073746313,37.81194690265486725663716814
lgNA_ordNA_scaf74,lgNA,32.38847023360964581763376036,22.57874905802562170308967596,26.29163526752072343632253203,22.45930670685757347400150716,25.31951770911831198191409194,45.58779201205727204220045215,45.02863602110022607385079126,38.91183119819140919366993218,47.02449133383571966842501884
lgNA_ordNA_scaf740,lgNA,0.07209136331192005710206995004,0.2326909350463954318344039971,0,0.3961456102783725910064239829,0.1434689507494646680942184154,0.9093504639543183440399714490,0.07209136331192005710206995004,0,0.8693790149892933618843683084
lgNA_ordNA_scaf741,lgNA,0,0.2105263157894736842105263158,0,0,0.07183499288762446657183499289,0,0.07183499288762446657183499289,0,0
lgNA_ordNA_scaf742,lgNA,3.931347804139323573952549218,1.904593639575971731448763251,3.184755174154467440686521959,1.764765270065623422513881878,2.124684502776375567895002524,3.701665825340737001514386673,4.836446239273094396769308430,4.296819787985865724381625442,3.926804644119131751640585563
lgNA_ordNA_scaf743,lgNA,14.60186534538035558146313028,8.413873506266394637132031478,11.56572427863596619061498106,8.773535412416205187991839114,10.54969396677353541241620519,24.17808219178082191780821918,20.98863305158845817545904984,18.42961235791314485572719324,19.10521713786068201690469251
lgNA_ordNA_scaf744,lgNA,19.69315617949360742040611682,14.37545557976743737586053956,16.10149063771525541392676013,13.38004512409125094008523439,14.65526351312262568216441368,30.79194708525367838478893881,30.59357463794666101008542723,26.60630194573538770079256417,27.96206876602965848390766917
lgNA_ordNA_scaf745,lgNA,43.82021265170228761679733648,28.35549350230909676726452583,30.97604983353023305767371926,25.60895714745999355600902159,31.73676296853184405541832241,76.22453728564780009307986969,69.29678158450578169190563133,62.90273153617584935381090466,58.49915870117781835105430852
lgNA_ordNA_scaf746,lgNA,18.63529921942758022549869905,12.66435385949696444058976583,14.49566348655680832610581093,11.84301821335646140503035559,17.70901994796183868169991327,33.02688638334778837814397225,33.05767562879444926279271466,29.25498699045967042497831743,31.40199479618386816999132697
lgNA_ordNA_scaf747,lgNA,1.066162570888468809073724008,0.6058601134215500945179584121,0.8894139886578449905482041588,0.2362948960302457466918714556,0.4640831758034026465028355388,0.7561436672967863894139886578,1.228733459357277882797731569,1.640831758034026465028355388,1.030245746691871455576559546
lgNA_ordNA_scaf748,lgNA,16.16561181434599156118143460,14.73971518987341772151898734,13.48760548523206751054852321,11.32674050632911392405063291,12.99103375527426160337552743,26.05828059071729957805907173,25.88686708860759493670886076,22.19251054852320675105485232,23.46202531645569620253164557
lgNA_ordNA_scaf749,lgNA,1.257018393030009680542110358,0.7226524685382381413359148112,1.194094869312681510164569216,0.1684414327202323330106485963,0.9390125847047434656340755082,2.021297192642787996127783156,0.3528557599225556631171345595,1.802516940948693126815101646,1.404646660212971926427879961
lgNA_ordNA_scaf750,lgNA,0.2090134847409510290986515259,0.1142654364797728885734563520,0.04400283889283179559971611072,0.3374733853797019162526614620,0.02909865152590489709013484741,0.4748048261178140525195173882,0,0.06919801277501774308019872250,0.05819730305180979418026969482
lgNA_ordNA_scaf751,lgNA,1.856115107913669064748201439,2.140287769784172661870503597,3.482014388489208633093525180,1.361510791366906474820143885,4.168165467625899280575539568,4.988309352517985611510791367,6.214928057553956834532374101,4.957733812949640287769784173,4.433453237410071942446043165
lgNA_ordNA_scaf752,lgNA,14.11235119047619047619047619,12.10044642857142857142857143,10.27008928571428571428571429,11.21205357142857142857142857,10.21949404761904761904761905,19.97023809523809523809523810,26.81845238095238095238095238,20.41294642857142857142857143,13.13541666666666666666666667
lgNA_ordNA_scaf753,lgNA,0.5504652827487473156764495347,0.4273443092340730136005726557,0.2791696492483894058697208304,0.1059413027916964924838940587,0,1.277022190408017179670722978,1.221904080171796707229778096,0,0
lgNA_ordNA_scaf754,lgNA,30.88510848126232741617357002,21.65976331360946745562130178,23.44970414201183431952662722,16.49457593688362919132149901,25.89595660749506903353057199,42.27613412228796844181459566,38.60946745562130177514792899,29.87623274161735700197238659,39.43096646942800788954635108
lgNA_ordNA_scaf755,lgNA,15.27057440376217668794088008,10.44423916694659052737655358,11.50621430970775948941887807,10.01024521330198186093382600,12.45885119247564662411823984,24.17383271750083977158212966,24.70775948941887806516627477,21.42542828350688612697346322,21.56415854887470607994625462
lgNA_ordNA_scaf756,lgNA,4.821529745042492917847025496,5.420963172804532577903682720,4.496317280453257790368271955,3.191501416430594900849858357,3.8,8.746742209631728045325779037,6.730878186968838526912181303,6.568271954674220963172804533,7.873654390934844192634560907
lgNA_ordNA_scaf757,lgNA,10.60636182902584493041749503,8.482438701126573889993373095,7.772034459907223326706428098,5.634857521537442014579191518,9.434724983432736911862160371,14.10735586481113320079522863,21.85222001325381047051027170,12.64612326043737574552683897,10.46852220013253810470510272
lgNA_ordNA_scaf759,lgNA,5.387052965142598460842009959,4.304662743322770484382073336,3.627433227704843820733363513,3.506564056133997283838841105,4.746491625169760072430964237,7.951109099139882299683114531,9.447713897691263014938886374,8.606156631960162969669533726,7.061566319601629696695337257
lgNA_ordNA_scaf76,lgNA,4.519986893840104849279161206,2.960681520314547837483617300,3.715268676277850589777195282,3.045871559633027522935779817,3.131389252948885976408912189,5.439384010484927916120576671,5.521952817824377457404980341,4.500655307994757536041939712,5.499672346002621231979030144
lgNA_ordNA_scaf760,lgNA,0.1889366001515534225814599646,0.2568830512755746400606213690,0.2621874210659257388229350846,0.2581459964637534730992674918,0.2798686537004294013639808032,0.1656984086890628946703713059,0.5071987875726193483202828997,0.4748673907552412225309421571,0.5579691841374084364738570346
lgNA_ordNA_scaf761,lgNA,18.29156580456109058478787107,13.30033125238883934259141292,14.48376863294687221302076698,12.05301312269078863549496751,13.97353803032233405529366798,28.07088801121161931456236463,27.50072620716014778952732832,23.52596509109440693081921264,25.06501465154796789399923557
lgNA_ordNA_scaf762,lgNA,0.1268556005398110661268556005,0,0,0,0,0,0,0,0
lgNA_ordNA_scaf764,lgNA,29.79067245119305856832971800,22.23373101952277657266811280,24.04013015184381778741865510,17.90618221258134490238611714,22.70986984815618221258134490,47.67299349240780911062906725,49.09924078091106290672451193,36.17245119305856832971800434,43.21475054229934924078091106
lgNA_ordNA_scaf765,lgNA,223.8243366880146386093321134,155.2195791399817017383348582,171.3385178408051235132662397,127.8636779505946935041171089,167.7483989021043000914913083,264.6331198536139066788655078,247.8517840805123513266239707,193.5425434583714547118023788,219.3577310155535224153705398
lgNA_ordNA_scaf767,lgNA,1.610035211267605633802816901,0.6919014084507042253521126761,0.9577464788732394366197183099,1.102992957746478873239436620,1.260563380281690140845070423,2.150528169014084507042253521,1.549295774647887323943661972,1.543133802816901408450704225,1.674295774647887323943661972
lgNA_ordNA_scaf768,lgNA,33.97968659315147997678467789,29.61230412071967498549042368,29.81485780615206035983749275,22.67208357515960533952408590,19.08067324434126523505513639,74.20545560069645966337782937,44.21532211259431224608241439,56.44573418456181079512478236,49.42426001160766105629715612
lgNA_ordNA_scaf769,lgNA,10.94940978077571669477234401,9.030354131534569983136593592,8.364249578414839797639123103,7.340640809443507588532883642,7.703204047217537942664418212,8.651770657672849915682967960,7.548060708263069139966273187,6.460370994940978077571669477,8.080101180438448566610455312
lgNA_ordNA_scaf77,lgNA,20.41824751580849141824751581,15.09123757904245709123757904,18.47154471544715447154471545,12.07949412827461607949412827,16.53568202348690153568202349,35.85727190605239385727190605,39.48148148148148148148148148,35.47786811201445347786811201,37.61698283649503161698283650
lgNA_ordNA_scaf770,lgNA,21.04217687074829931972789116,14.71700680272108843537414966,14.74897959183673469387755102,13.29251700680272108843537415,11.61156462585034013605442177,34.12176870748299319727891156,28.80680272108843537414965986,24.33265306122448979591836735,30.24557823129251700680272109
lgNA_ordNA_scaf772,lgNA,0.1932606541129831516352824579,0,0,0,0,0.1962338949454905847373637265,0,0,0.1000991080277502477700693756
lgNA_ordNA_scaf773,lgNA,0,0.03505696757230499561787905346,0,0,0.09553023663453111305872042068,0,0.1007887817703768624014022787,0.2164767747589833479404031551,0.06485539000876424189307624890
lgNA_ordNA_scaf774,lgNA,24.63061074319352465047829286,27.25974981604120676968359088,28.66813833701250919793966152,22.25165562913907284768211921,21.01766004415011037527593819,39.42825607064017660044150110,55.17071376011773362766740250,45.06548933038999264164827079,48.02281089036055923473142016
lgNA_ordNA_scaf775,lgNA,9.492946708463949843260188088,8.223354231974921630094043887,6.613636363636363636363636364,6.751567398119122257053291536,7.947492163009404388714733542,14.28996865203761755485893417,11.84169278996865203761755486,16.49059561128526645768025078,15.32680250783699059561128527
lgNA_ordNA_scaf776,lgNA,18.45669291338582677165354331,11.02716535433070866141732283,14.69763779527559055118110236,12.50866141732283464566929134,12.23070866141732283464566929,12.69803149606299212598425197,10.93425196850393700787401575,9.980314960629921259842519685,9.975984251968503937007874016
lgNA_ordNA_scaf777,lgNA,0.1170671595810227972889710413,0,0.1121380160197165742452248922,0.1072088724584103512014787431,0,0,0.4232902033271719038817005545,0,0
lgNA_ordNA_scaf778,lgNA,6.962743437764606265876375953,4.352243861134631668077900085,5.464860287891617273497036410,4.585944115156646909398814564,3.657070279424216765453005927,8.568162574089754445385266723,8.950889077053344623200677392,9.004233700254022015241320914,8.179508890770533446232006774
lgNA_ordNA_scaf779,lgNA,13.05591156680551105414931112,9.098245754565844280679269465,10.25048061518743992310157001,9.014098045498237744312720282,9.845362063441204742069849407,12.25512656199935917975008010,11.68908202499198974687600128,10.84972765139378404357577699,10.71207145145786606856776674
lgNA_ordNA_scaf78,lgNA,9.278297872340425531914893617,7.017021276595744680851063830,6.209361702127659574468085106,4.979574468085106382978723404,6.523404255319148936170212766,12.33957446808510638297872340,11.32255319148936170212765957,11.30382978723404255319148936,8.793191489361702127659574468
lgNA_ordNA_scaf780,lgNA,33.00938477580813347236704901,23.14442127215849843587069864,21.10844629822732012513034411,16.37695516162669447340980188,20.38216892596454640250260688,40.70542231491136600625651721,38.97705943691345151199165798,32.99113660062565172054223149,40.11730969760166840458811262
lgNA_ordNA_scaf781,lgNA,3.560797665369649805447470817,3.913910505836575875486381323,2.849708171206225680933852140,2.866245136186770428015564202,2.928988326848249027237354086,4.974221789883268482490272374,5.225680933852140077821011673,4.317120622568093385214007782,5.078793774319066147859922179
lgNA_ordNA_scaf782,lgNA,6.184179456906729634002361275,3.322314049586776859504132231,4.838842975206611570247933884,3.279811097992916174734356553,3.107438016528925619834710744,7.012987012987012987012987013,5.724911452184179456906729634,7.800472255017709563164108619,6.178866587957497048406139315
