HOG,soft_chr,finalD
HOG_24396,AAAAA,5.57520252186805e-09
HOG_24396,AAAAA,1.8929876728116142
HOG_24396,AAAA,4.056122142414097
HOG_24396,AAAA,0.05781979741732357
HOG_24396,AAAA,17.903763229811375
HOG_24396,AAAAA,3.3232936402782798e-09
HOG_24396,AAAAA,9.828836482483894e-06
HOG_24396,AAAAA,6.7620931076817214e-09
HOG_24396,XXXXX,0.019210899022255035
HOG_24396,XXXX,0.627625893917866
HOG_24396,AAAAA,2.4647306418046355e-09
HOG_24396,AAAAA,0.10314762094822072
HOG_24396,AAAA,6.589016265934333e-08
HOG_24396,AAAA,0.8449757483758731
HOG_24396,AAAAA,1.0707844921853393e-07
HOG_24396,AAAAA,0.1779487127005268
HOG_24396,AAAAA,9.25156200537458e-08
HOG_24396,AAAAA,2.3002485249890015e-08
HOG_24396,AAAA,1.187072484754026e-07
HOG_24396,AAAAA,0.04311423414765159
HOG_24396,AAAAA,1.309290382778272e-07
HOG_24396,AAAAA,9.725226846057922e-08
HOG_24396,AAAAA,5.2426912588998675e-08
HOG_24396,XXXX,7.848939276300371e-10
HOG_24396,AAAA,0.08329814479475317
HOG_24396,AAAAA,0
HOG_24396,XXXXX,0.011490814071294153
HOG_24396,AAAA,8.747501851757988e-07
HOG_24396,AAAAA,8.731149137020111e-11
HOG_24396,AAAAA,0.7054476386640545
HOG_24396,XXXX,4.994017217541113e-07
HOG_24396,AAAA,0.1404453136740358
HOG_24396,AAAAA,3.020579933737281
HOG_24396,AAAAA,1.3286353350849822e-08
HOG_24396,AAAA,0.14543591153051239
HOG_24396,AAAAA,2.1761115931440145e-07
HOG_24396,AAAA,7.13807821739465e-08
HOG_24396,AAAA,1.286580300075002e-07
HOG_24396,AAAAA,1.0939129424514249e-07
HOG_24396,AAAA,0.5829900966800778
HOG_24396,AAAAA,0.31697757107212965
HOG_24396,AAAA,0.5302884448774421
HOG_24396,AAAAA,0.1136461619498732
HOG_24396,AAAA,1.2286818673601374e-08
HOG_24396,AAAA,2.834440238075331e-09
HOG_24396,AAAAA,5.40274130281432
HOG_24396,AAAAA,7.536455086665228e-07
HOG_24396,XXXXX,6.454814515996077
HOG_24396,AAAAA,4.5859633246436715e-07
HOG_24396,AAAA,0.09680820600078732
HOG_24396,AAAA,0.8957855481567094
HOG_24396,AAAAA,1.9007347873412073e-07
HOG_24396,AAAA,6.039044819772243e-10
HOG_24396,AAAA,0
HOG_24396,AAAA,1.0301582733518444e-06
HOG_24396,AAAA,2.2303083824226633e-09
HOG_24396,AAAAA,1.3316875330201583
HOG_24396,AAAA,1.3350472727324814e-07
HOG_24396,AAAAA,2.224942363682203e-08
HOG_24396,AAAAA,0.871025030950932
HOG_24396,AAAA,3.366085365996696e-07
HOG_24396,AAAAA,3.169322341596853
HOG_24396,AAAAA,0.020812650528114318
HOG_24396,AAAA,3.700435835884491
HOG_24396,XXXXX,2.9194779926910996e-10
HOG_24396,AAAA,0.6083345797087532
HOG_24396,AAAAA,2.540036803111434e-08
HOG_24396,AAAA,0.0774592344150733
HOG_24396,AAAAA,0.44286666525295004
HOG_24396,AAAAA,6.99665179126896e-08
HOG_24396,AAAAA,3.504665073705837e-07
HOG_24396,AAAAA,1.496282493462786e-07
HOG_24396,AAAAA,0.39166805149670836
HOG_24396,AAAA,3.0214468015747116
HOG_24396,AAAA,1.8963328329846263e-07
HOG_24396,AAAAA,0.009212465419295768
HOG_24396,AAAAA,3.207605914212763e-08
HOG_24396,AAAA,0.21648811362683773
HOG_24396,AAAAA,0.04905141556923809
HOG_24396,AAAA,3.1104718800634146e-10
HOG_24396,AAAAA,2.090018824674189e-09
HOG_24396,AAAAA,0.7425417530212144
HOG_24396,AAAAA,9.24819687497802e-09
HOG_24396,AAAA,0.45566862417399534
HOG_24396,AAAAA,4.91672835778445e-09
HOG_24396,AAAA,3.8980658342561583
HOG_24396,AAAA,0.9187010113714678
HOG_24396,AAAAA,3.838067641481757e-10
HOG_24396,AAAA,9.667928679846227e-10
HOG_24396,AAAAA,8.662027539685369e-09
HOG_24396,AAAA,4.838511813431978e-10
HOG_24396,AAAAA,0.5906252462145858
HOG_24396,AAAAA,3.764671419048682e-08
